client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,category
ghines@example.net,235798070,Account Suspension,Account banned during payment process.,Closed,2025-05-16,2025-05-30,General
kmendez@example.net,9570501533,Bug Report,Chart not updating after data refresh.,Closed,2025-06-09,2025-06-10,Bug Report
melissagarner@example.org,5587762543,Login Issue,Getting 'user not found' even with valid ID.,Closed,2025-03-13,2025-03-28,Bug Report
lierin@example.net,3047568329,Login Issue,Cannot log in on mobile app.,Closed,2025-07-18,2025-07-20,Bug Report
mathewslaura@example.org,9878782527,Data Export,Export feature is not generating files.,Closed,2025-07-01,2025-07-15,Data Export
osbornedebra@example.net,7802647706,Payment Failure,UPI transaction timed out.,Closed,2025-06-06,2025-06-13,Billing Problem
sawyerashley@example.org,985656053,Data Export,Need JSON export option.,Closed,2025-02-19,2025-02-22,Data Export
vowens@example.net,9105858420,Billing Problem,Billed for a cancelled plan.,Closed,2025-05-29,2025-06-04,Bug Report
derekhancock@example.org,1839712425,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-07-26,2025-08-07,Subscription Cancellation
blankenshipelaine@example.net,1697606829,Bug Report,Unable to delete old entries.,Closed,2025-03-09,2025-03-12,Bug Report
abigail00@example.net,8021355426,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-06-12,2025-06-15,Bug Report
johnmatthews@example.org,6164588657,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-03-02,2025-03-06,UI Feedback
jacquelinegarcia@example.com,5974210551,UI Feedback,Dark mode missing in login.,Closed,2025-05-26,2025-06-01,UI Feedback
phillipsrussell@example.org,1440195177,Data Export,Need export in regional time zone.,Closed,2025-05-21,2025-05-24,Data Export
rebeccagutierrez@example.com,7390909134,Technical Support,Can’t install latest update.,Closed,2025-07-14,2025-07-23,Technical Support
cervantesraven@example.net,5568635538,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-02-03,2025-02-04,Subscription Cancellation
deborah26@example.org,7100608270,Data Export,Filters not applying in exported data.,Closed,2025-05-18,2025-05-20,Data Export
beverly04@example.net,6540779277,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-04-21,2025-05-04,UI Feedback
whitneyadkins@example.net,5941454106,Payment Failure,Need confirmation after retry.,Closed,2025-05-16,2025-05-31,Billing Problem
stephanieallen@example.com,5142941200,Data Export,Export feature is not generating files.,Closed,2025-05-28,2025-06-01,Data Export
williamsrobert@example.net,3154154339,Account Suspension,Account banned during payment process.,Closed,2025-04-24,2025-04-25,General
dolson@example.com,4534844859,Technical Support,Application showing version mismatch.,Closed,2025-02-09,2025-02-10,Technical Support
juan93@example.org,690514928,Login Issue,Cannot log in on mobile app.,Closed,2025-07-20,2025-07-23,Bug Report
martinthomas@example.org,248293598,UI Feedback,Font inconsistent across pages.,Closed,2025-03-31,2025-04-16,UI Feedback
jordanray@example.com,566652322,UI Feedback,Icons not intuitive.,Closed,2025-04-29,2025-05-01,UI Feedback
williamsjustin@example.com,8855830577,Payment Failure,Didn’t receive invoice after payment.,Closed,2025-04-03,2025-04-05,Billing Problem
adkinsbeth@example.org,5009610473,Bug Report,Search bar resets randomly.,Closed,2025-06-11,2025-06-13,Bug Report
pooledouglas@example.com,329837736,Bug Report,Back button doesn’t work.,Closed,2025-05-17,2025-05-20,Bug Report
patrick38@example.org,3905698688,Data Export,Export feature is not generating files.,Closed,2025-02-13,2025-02-17,Data Export
gomezmatthew@example.com,3948778193,Bug Report,Reports section not opening.,Closed,2025-04-18,2025-04-19,Bug Report
zamoraamanda@example.net,6308028775,Technical Support,Can’t sync data across devices.,Closed,2025-05-06,2025-05-17,Technical Support
crystalclayton@example.org,8390620947,Login Issue,Cannot log in on mobile app.,Closed,2025-06-04,2025-06-06,Bug Report
burnssharon@example.com,6258332849,Account Suspension,Need clarification on temporary lockout.,Closed,2025-05-28,2025-06-03,General
wvillarreal@example.org,4454605915,UI Feedback,Font inconsistent across pages.,Closed,2025-03-12,2025-03-23,UI Feedback
aaron44@example.net,7103174613,Bug Report,Date selector not responsive.,Closed,2025-02-09,2025-02-25,Bug Report
kayla82@example.org,5059608299,Bug Report,Sidebar collapses on scroll.,Closed,2025-03-25,2025-04-06,Bug Report
wrightkevin@example.org,1286643809,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-02-14,2025-02-17,Subscription Cancellation
jacksonkatherine@example.com,6773878787,Feature Request,Need voice assistant for dashboard.,Closed,2025-05-11,2025-05-14,Feature Request
yking@example.net,7579330158,UI Feedback,Dark mode missing in login.,Closed,2025-06-12,2025-06-14,UI Feedback
fordthomas@example.org,2496527640,Account Suspension,Suspension mail was too vague.,Closed,2025-06-27,2025-06-30,General
bwalker@example.net,9539031150,Data Export,Charts not included in report export.,Closed,2025-07-01,2025-07-06,Data Export
estradamaria@example.org,7693186133,Account Suspension,Suspension mail was too vague.,Closed,2025-05-01,2025-05-02,General
amy66@example.com,4679344187,Feature Request,Would like push notifications for updates.,Closed,2025-06-02,2025-06-12,Feature Request
arnoldjeanne@example.org,2147369288,Data Export,Need monthly data dump in CSV.,Closed,2025-02-23,2025-03-02,Data Export
amanda41@example.net,9785317519,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-04-06,2025-04-11,Subscription Cancellation
margaretalexander@example.net,1603397675,Billing Problem,Not receiving monthly bills via email.,Closed,2025-04-22,2025-04-26,Bug Report
montoyaeric@example.org,3122920002,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-03-17,2025-03-19,Bug Report
aleon@example.com,8575848606,Feature Request,Provide more chart types in dashboard.,Closed,2025-03-03,2025-03-07,Feature Request
wandaconrad@example.net,4557592580,Subscription Cancellation,Still charged after cancellation.,Closed,2025-03-26,2025-04-05,Subscription Cancellation
anthonymitchell@example.com,7222214369,Technical Support,Error 500 on accessing dashboard.,Closed,2025-04-17,2025-04-20,Technical Support
sandy37@example.org,6670991710,Account Suspension,Terms of use were unclear.,Closed,2025-07-09,2025-07-12,General
vreynolds@example.net,5405702674,Feature Request,Need voice assistant for dashboard.,Closed,2025-05-03,2025-05-04,Feature Request
vmorales@example.net,2353579247,Account Suspension,Can’t access services due to ban.,Closed,2025-03-09,2025-03-11,General
johnny01@example.org,5908927379,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-07-04,2025-07-13,Bug Report
guerrerojulia@example.net,1746437685,Login Issue,Redirect loop after logging in.,Closed,2025-04-17,2025-04-21,Bug Report
dbrown@example.com,4138309666,Login Issue,Login button is unresponsive.,Closed,2025-06-20,2025-06-26,Bug Report
cynthia96@example.net,7570997205,Subscription Cancellation,"Didn’t mean to cancel, can I undo?",Closed,2025-03-08,2025-03-14,Subscription Cancellation
anthonyraymond@example.com,3407254400,Login Issue,Error 401 appearing on login.,Opened,2025-05-03,,Bug Report
danderson@example.net,7843177830,Data Export,Auto-export not working on Fridays.,Closed,2025-05-31,2025-06-02,Data Export
jennifermoore@example.org,3928159244,Billing Problem,Not receiving monthly bills via email.,Closed,2025-05-24,2025-05-31,Bug Report
davidsamantha@example.org,5425683006,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-06-22,2025-06-23,Feature Request
cassie22@example.org,6795385529,Login Issue,Getting 'user not found' even with valid ID.,Closed,2025-02-18,2025-02-25,Bug Report
jimmy56@example.org,2539471496,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-06-03,2025-06-07,Subscription Cancellation
kelly23@example.net,3837896960,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-04-26,2025-05-01,Subscription Cancellation
melissakennedy@example.com,5801464585,Payment Failure,Bank transaction shows pending.,Closed,2025-06-23,2025-06-24,Billing Problem
kim09@example.org,2609344872,Subscription Cancellation,Wrong account cancelled.,Closed,2025-06-12,2025-06-20,Subscription Cancellation
danielletran@example.net,1863025703,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,2025-06-30,2025-07-13,Subscription Cancellation
loweerica@example.net,3124001282,Account Suspension,How do I appeal a suspension?,Closed,2025-02-25,2025-03-04,General
carterbonnie@example.net,2133425352,Bug Report,Back button doesn’t work.,Closed,2025-04-24,2025-04-29,Bug Report
ymccoy@example.net,1449536716,Payment Failure,Payment shows success but app locked.,Closed,2025-05-07,2025-05-08,Billing Problem
nsimpson@example.com,4161728152,Data Export,Export feature is not generating files.,Closed,2025-03-28,2025-04-02,Data Export
gmccoy@example.org,5208508281,Bug Report,Form validation not working properly.,Closed,2025-04-28,2025-05-08,Bug Report
shepardjames@example.org,3841786935,Payment Failure,Need GST invoice after payment.,Closed,2025-07-25,2025-07-28,Billing Problem
kristifuller@example.com,7190784683,Bug Report,Color scheme inconsistent.,Closed,2025-02-13,2025-02-25,Bug Report
xmurray@example.net,9256483932,Billing Problem,Need clarification on currency charges.,Closed,2025-05-21,2025-05-29,Bug Report
michael52@example.com,7691376407,Login Issue,Redirect loop after logging in.,Closed,2025-04-22,2025-04-23,Bug Report
ellen98@example.org,251059954,Bug Report,Color scheme inconsistent.,Closed,2025-03-16,2025-03-17,Bug Report
annyoung@example.org,3051623639,Login Issue,Cannot log in on mobile app.,Closed,2025-07-07,2025-07-09,Bug Report
graykimberly@example.net,6500117891,Feature Request,Can you include language translation?,Closed,2025-05-30,2025-05-31,Feature Request
uking@example.com,9750578972,Billing Problem,Charged extra on my last invoice.,Closed,2025-03-10,2025-03-12,Bug Report
nicole49@example.com,9370059522,Data Export,Exported PDF looks blank.,Closed,2025-04-21,2025-04-27,Data Export
stephaniewade@example.org,545236820,Payment Failure,Payment failed due to card error.,Closed,2025-04-26,2025-05-08,Billing Problem
spalmer@example.com,2738098196,Login Issue,Login working on browser but not app.,Closed,2025-03-03,2025-03-07,Bug Report
sullivanrebecca@example.net,905046072,Technical Support,Feature working on web but not mobile.,Closed,2025-05-29,2025-05-30,Technical Support
danielle00@example.net,4143961872,Login Issue,Error 401 appearing on login.,Closed,2025-02-10,2025-02-11,Bug Report
cristiansanchez@example.org,423706943,Account Suspension,Account banned during payment process.,Closed,2025-02-19,2025-02-20,General
paul84@example.org,4414416925,Feature Request,Can you include language translation?,Closed,2025-02-08,2025-02-09,Feature Request
williamsapril@example.net,4182220518,Billing Problem,Billed for a cancelled plan.,Closed,2025-04-01,2025-04-10,Bug Report
joshuaphillips@example.org,5048454390,Login Issue,Login working on browser but not app.,Closed,2025-05-04,2025-05-08,Bug Report
becky25@example.net,4112952899,Billing Problem,Invoice still shows old company name.,Closed,2025-03-24,2025-04-03,Bug Report
tyrone38@example.com,4929740861,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-06-14,2025-06-20,Subscription Cancellation
michaeljacob@example.org,837931753,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-02-17,2025-02-18,Subscription Cancellation
walkerstephanie@example.org,8686218096,Payment Failure,Payment failed due to card error.,Closed,2025-04-07,2025-04-08,Billing Problem
lynchrichard@example.com,5849128294,Bug Report,Sidebar collapses on scroll.,Closed,2025-02-06,2025-02-15,Bug Report
qmiller@example.com,961682283,Data Export,Fields are missing in exported report.,Closed,2025-07-12,2025-07-15,Data Export
james13@example.org,6754064308,Data Export,Time range in export is incorrect.,Closed,2025-07-10,2025-07-15,Data Export
hernandezjessica@example.com,1370446543,Payment Failure,Need GST invoice after payment.,Closed,2025-03-01,2025-03-06,Billing Problem
steven00@example.com,3047108227,Login Issue,Cannot log in on mobile app.,Closed,2025-03-05,2025-03-07,Bug Report
cindycrosby@example.com,2966709256,Data Export,Can’t schedule data export.,Closed,2025-02-27,2025-03-01,Data Export
laura09@example.com,9571936793,Payment Failure,Payment success mail delayed.,Closed,2025-07-23,2025-07-24,Billing Problem
harmoncheryl@example.com,7905592423,Feature Request,Include a mobile-first UI option.,Closed,2025-05-02,2025-05-03,Feature Request
ccooper@example.org,2068661707,Technical Support,Application showing version mismatch.,Closed,2025-07-24,2025-07-25,Technical Support
rodriguezlisa@example.com,9209995413,Bug Report,Form validation not working properly.,Closed,2025-02-08,2025-02-24,Bug Report
estout@example.com,7345444477,Data Export,Can’t schedule data export.,Closed,2025-06-02,2025-06-06,Data Export
anthony14@example.org,8415058104,Payment Failure,UPI transaction timed out.,Closed,2025-07-21,2025-07-24,Billing Problem
burkematthew@example.com,3706510465,Feature Request,Ability to bulk edit entries needed.,Closed,2025-03-28,2025-03-29,Feature Request
dvazquez@example.net,145856419,Billing Problem,Promo code was not applied.,Closed,2025-06-26,2025-06-29,Bug Report
vanessa75@example.com,2645086303,Login Issue,Cannot log in on mobile app.,Closed,2025-02-15,2025-02-16,Bug Report
yrichard@example.com,1095135262,Data Export,Time range in export is incorrect.,Closed,2025-07-13,2025-07-14,Data Export
paulmarshall@example.net,3540531968,Data Export,Fields are missing in exported report.,Closed,2025-07-20,2025-07-25,Data Export
markgilbert@example.com,9271885386,Billing Problem,Duplicate transaction found.,Closed,2025-03-14,2025-04-01,Bug Report
eugenefloyd@example.net,5704573581,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-07-22,2025-07-26,UI Feedback
danadavis@example.com,1361792922,Data Export,Time range in export is incorrect.,Closed,2025-03-24,2025-04-04,Data Export
joshuaellis@example.org,9843913394,Technical Support,Cannot upload files to cloud.,Closed,2025-06-28,2025-07-08,Technical Support
jonathan50@example.com,8189984180,Login Issue,Login working on browser but not app.,Closed,2025-06-23,2025-06-28,Bug Report
carriedecker@example.com,1221587179,Bug Report,Color scheme inconsistent.,Closed,2025-03-08,2025-03-14,Bug Report
lhoffman@example.net,9396706285,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-02-05,2025-02-13,Bug Report
anthony42@example.net,3306447409,Data Export,Export email not received.,Closed,2025-03-23,2025-03-29,Data Export
lori99@example.com,8148026206,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-04-09,2025-04-11,General
blacknathan@example.com,6046877849,Billing Problem,Invoice still shows old company name.,Closed,2025-04-01,2025-04-02,Bug Report
nicholas66@example.com,9191194547,Login Issue,Account locked after failed attempts.,Closed,2025-06-17,2025-06-18,Bug Report
aguirrerichard@example.net,5212782565,Feature Request,Multi-user role system would help.,Closed,2025-04-16,2025-04-19,Feature Request
zwest@example.org,4763883264,Feature Request,Add folder structure to organize data.,Closed,2025-03-11,2025-03-14,Feature Request
hahnamy@example.org,1305327826,Login Issue,Captcha keeps looping during login.,Closed,2025-06-07,2025-06-11,Bug Report
megan30@example.net,1828640767,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-07-27,2025-07-29,General
alicia51@example.com,4691267419,Data Export,Export feature is not generating files.,Closed,2025-07-12,2025-07-13,Data Export
davisvictor@example.org,7722436733,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-06-10,2025-06-21,Bug Report
matthew28@example.org,2760527277,Account Suspension,Can’t access services due to ban.,Closed,2025-03-07,2025-03-13,General
balltony@example.com,3403247223,Login Issue,Login working on browser but not app.,Closed,2025-07-06,2025-07-12,Bug Report
collinduncan@example.org,5172134583,Billing Problem,Invoice still shows old company name.,Closed,2025-04-14,2025-04-26,Bug Report
sherryshannon@example.com,1270518064,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-03-28,2025-03-31,Bug Report
michele78@example.com,6453572239,Data Export,Data export not matching preview.,Closed,2025-06-17,2025-06-18,Data Export
jacqueline04@example.com,6456027221,UI Feedback,Table headers not sticky.,Closed,2025-02-08,2025-02-10,UI Feedback
htanner@example.net,1502511505,UI Feedback,Sidebar hides important links.,Closed,2025-06-23,2025-06-28,UI Feedback
elizabethcarter@example.net,5958933906,Feature Request,Save filter views for reuse.,Closed,2025-06-05,2025-06-17,Feature Request
uhall@example.org,3155363802,Data Export,Export email not received.,Closed,2025-06-23,2025-07-02,Data Export
brandythomas@example.net,2240902319,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-04-10,2025-04-16,UI Feedback
ggonzales@example.org,2965063125,Subscription Cancellation,Wrong account cancelled.,Closed,2025-05-08,2025-05-10,Subscription Cancellation
charleswilliams@example.org,7407715462,Account Suspension,My account was suspended without notice.,Closed,2025-05-21,2025-06-02,General
darlene71@example.com,7303543383,Bug Report,Check/uncheck box not saving state.,Closed,2025-07-12,2025-07-18,Bug Report
georgesuarez@example.net,6563694180,Feature Request,Add folder structure to organize data.,Opened,2025-01-29,,Feature Request
harrisbradley@example.net,5611941359,Subscription Cancellation,Still charged after cancellation.,Closed,2025-06-22,2025-06-24,Subscription Cancellation
gabriel10@example.org,4127861519,Billing Problem,Late fee charged wrongly.,Closed,2025-04-30,2025-05-02,Bug Report
shannoncameron@example.com,5364343798,UI Feedback,Icons not intuitive.,Closed,2025-06-01,2025-06-04,UI Feedback
marylittle@example.net,6301245162,Bug Report,Back button doesn’t work.,Closed,2025-07-01,2025-07-02,Bug Report
kevin66@example.net,1113775067,Account Suspension,Unjustified account suspension request.,Closed,2025-07-13,2025-07-21,General
alejandrakrause@example.org,2076971482,Bug Report,Exported file missing columns.,Closed,2025-06-08,2025-06-09,Bug Report
alexis12@example.net,8043386336,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-01-29,2025-01-31,Feature Request
lisagilbert@example.net,5278337040,Subscription Cancellation,Still charged after cancellation.,Closed,2025-06-15,2025-06-22,Subscription Cancellation
fbowman@example.net,49649636,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-04-22,2025-05-04,UI Feedback
nicole43@example.com,8957962016,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-03-03,2025-03-06,Subscription Cancellation
ujones@example.net,9385215008,Account Suspension,Terms of use were unclear.,Closed,2025-03-31,2025-04-16,General
bonniefritz@example.org,2045829668,Feature Request,Suggesting calendar integration.,Closed,2025-03-27,2025-03-31,Feature Request
sponce@example.net,3057932804,UI Feedback,Font inconsistent across pages.,Closed,2025-06-23,2025-06-28,UI Feedback
sho@example.com,7325433544,Bug Report,Back button doesn’t work.,Closed,2025-03-01,2025-03-07,Bug Report
uthompson@example.com,3831584483,Data Export,Export feature is not generating files.,Closed,2025-05-03,2025-05-16,Data Export
progers@example.com,1320885154,Bug Report,Dropdown not loading values.,Closed,2025-07-20,2025-07-22,Bug Report
robertsherman@example.com,5393669176,Bug Report,Unable to delete old entries.,Closed,2025-02-27,2025-03-08,Bug Report
jennifer52@example.com,3743387967,Billing Problem,Invoice PDF is missing this month.,Closed,2025-02-27,2025-03-15,Bug Report
wangjustin@example.org,3699370927,Feature Request,Requesting PDF report generation.,Closed,2025-02-01,2025-02-07,Feature Request
kleinlee@example.com,884606794,UI Feedback,Alignment issues in forms.,Closed,2025-05-13,2025-05-24,UI Feedback
rcook@example.org,814573138,Login Issue,Seeing 'invalid session token' error.,Closed,2025-03-30,2025-04-04,Bug Report
nstrong@example.org,8054637272,Login Issue,Login working on browser but not app.,Closed,2025-07-10,2025-07-13,Bug Report
rlarson@example.com,5432262951,Login Issue,Cannot log in on mobile app.,Closed,2025-01-29,2025-01-31,Bug Report
framirez@example.com,9595330367,Technical Support,White screen on startup.,Closed,2025-03-30,2025-04-01,Technical Support
cooperheather@example.com,7433129210,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,2025-06-10,2025-06-12,Subscription Cancellation
qturner@example.org,4945812894,Login Issue,Getting 'user not found' even with valid ID.,Closed,2025-06-07,2025-06-08,Bug Report
wrighttravis@example.org,5724449436,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-03-10,2025-03-13,Subscription Cancellation
udavis@example.net,3173453955,Billing Problem,Invoice still shows old company name.,Closed,2025-06-14,2025-06-21,Bug Report
chungrebecca@example.org,6348943600,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-04-04,2025-04-05,Bug Report
douglasanderson@example.net,6702836171,UI Feedback,Icons not intuitive.,Closed,2025-06-19,2025-06-24,UI Feedback
jillian25@example.net,3089543307,Technical Support,Live chat not launching.,Closed,2025-06-15,2025-06-22,Technical Support
franciscohansen@example.com,4715120346,Feature Request,Can we have auto-save for drafts?,Closed,2025-05-18,2025-05-31,Feature Request
fostertracie@example.net,776815622,UI Feedback,Dropdowns too close together.,Closed,2025-02-16,2025-03-03,UI Feedback
qowens@example.net,3682209056,UI Feedback,Too many clicks to perform actions.,Closed,2025-06-20,2025-07-05,UI Feedback
jodicamacho@example.org,7252699026,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-02-06,2025-02-14,Subscription Cancellation
daniel47@example.org,7903616041,Billing Problem,Refund not credited after 7 days.,Closed,2025-03-01,2025-03-04,Bug Report
bradshawheather@example.org,2566565965,Account Suspension,Need help lifting restrictions.,Closed,2025-04-07,2025-04-08,General
amanda66@example.com,3784857997,Account Suspension,Unjustified account suspension request.,Closed,2025-05-04,2025-05-12,General
travis99@example.org,7100660604,Payment Failure,Promo code not working during payment.,Closed,2025-02-23,2025-02-24,Billing Problem
lmartin@example.com,2466555903,Bug Report,Check/uncheck box not saving state.,Closed,2025-06-17,2025-06-23,Bug Report
ortizmonica@example.com,4797046904,UI Feedback,Dark mode missing in login.,Opened,2025-02-22,,UI Feedback
fmartin@example.com,954529466,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-05-16,2025-05-19,Bug Report
carol53@example.com,1536790391,Feature Request,Can you include language translation?,Closed,2025-03-15,2025-03-18,Feature Request
becktonya@example.org,5668076354,Data Export,Auto-export not working on Fridays.,Closed,2025-03-23,2025-04-02,Data Export
sedwards@example.org,2088295305,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-03-18,2025-03-27,Bug Report
thomaskent@example.net,6676494274,Billing Problem,Refund not credited after 7 days.,Closed,2025-06-26,2025-07-02,Bug Report
nunezjason@example.net,8186105133,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-03-10,2025-03-17,Bug Report
sophiachavez@example.com,4636633241,Subscription Cancellation,Still charged after cancellation.,Closed,2025-03-20,2025-03-22,Subscription Cancellation
ericbartlett@example.org,7209747197,Login Issue,Captcha keeps looping during login.,Closed,2025-02-07,2025-02-09,Bug Report
fbooth@example.net,8512576499,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-02-21,2025-02-26,Bug Report
hintoncarolyn@example.com,2270239740,Billing Problem,Need clarification on currency charges.,Closed,2025-02-05,2025-02-13,Bug Report
jennifersimmons@example.net,7987377599,Data Export,Export feature is not generating files.,Closed,2025-04-03,2025-04-04,Data Export
bentleychristopher@example.org,9394960717,Subscription Cancellation,Can’t contact support post cancellation.,Closed,2025-07-17,2025-07-24,Subscription Cancellation
tracy13@example.net,350200661,Account Suspension,Need clarification on temporary lockout.,Closed,2025-06-28,2025-07-01,General
margaret43@example.org,3888014436,UI Feedback,Dark mode missing in login.,Closed,2025-03-22,2025-04-08,UI Feedback
imcconnell@example.com,4333991681,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-06-06,2025-06-07,Subscription Cancellation
nicholashill@example.org,2764091852,Login Issue,Captcha keeps looping during login.,Closed,2025-04-24,2025-04-25,Bug Report
howellsteven@example.net,640716175,Technical Support,Can’t install latest update.,Closed,2025-03-09,2025-03-14,Technical Support
james03@example.net,9498058182,Billing Problem,Incorrect tax calculations.,Closed,2025-02-15,2025-02-16,Bug Report
fryephillip@example.net,7828775065,Billing Problem,Incorrect tax calculations.,Closed,2025-03-22,2025-04-02,Bug Report
andrew96@example.com,1125138732,Billing Problem,Late fee charged wrongly.,Closed,2025-04-26,2025-04-28,Bug Report
shendricks@example.net,8717116692,Login Issue,Redirect loop after logging in.,Closed,2025-04-14,2025-04-15,Bug Report
vanessaward@example.com,5549612688,UI Feedback,Too many clicks to perform actions.,Closed,2025-06-23,2025-06-28,UI Feedback
martinmichael@example.net,4942338830,Feature Request,Requesting PDF report generation.,Closed,2025-07-04,2025-07-05,Feature Request
walkerwilliam@example.net,7641317419,Payment Failure,Payment success mail delayed.,Closed,2025-06-09,2025-06-13,Billing Problem
lmcgrath@example.net,9216113355,Account Suspension,How do I appeal a suspension?,Closed,2025-04-23,2025-04-26,General
pattersontracey@example.org,2785169591,Technical Support,Slow performance during peak hours.,Closed,2025-05-08,2025-05-20,Technical Support
boonerussell@example.com,1366173780,Data Export,Export email not received.,Closed,2025-03-21,2025-03-24,Data Export
juliestewart@example.com,4773650856,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-03-25,2025-03-27,General
alexander83@example.com,9384964363,Bug Report,Blank screen after form submission.,Closed,2025-06-03,2025-06-04,Bug Report
michelle77@example.net,1585541725,Billing Problem,Invoice PDF is missing this month.,Closed,2025-06-08,2025-06-11,Bug Report
fespinoza@example.org,581350776,Bug Report,Search bar resets randomly.,Closed,2025-06-30,2025-07-01,Bug Report
lauratrujillo@example.org,9056698212,Account Suspension,Need help lifting restrictions.,Closed,2025-03-12,2025-03-15,General
amandagarcia@example.com,9868456648,Account Suspension,Appeal submitted but no response yet.,Closed,2025-01-31,2025-02-08,General
duanedaniels@example.net,5458394780,Login Issue,Account seems to be disabled.,Closed,2025-06-09,2025-06-11,Bug Report
freytiffany@example.net,208527445,Technical Support,Freezing during screen load.,Closed,2025-04-16,2025-04-27,Technical Support
dreese@example.com,9234223768,Billing Problem,Invoice PDF is missing this month.,Closed,2025-04-16,2025-04-21,Bug Report
lisavega@example.net,9606168109,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-03-17,2025-03-31,Subscription Cancellation
masonmary@example.org,7144556755,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-02-13,2025-02-22,Bug Report
fcastillo@example.org,80715713,Feature Request,Save filter views for reuse.,Closed,2025-07-20,2025-07-23,Feature Request
fergusonsamantha@example.org,5970984176,Billing Problem,Need clarification on currency charges.,Closed,2025-03-14,2025-03-18,Bug Report
emiller@example.org,4360797041,Feature Request,Add folder structure to organize data.,Closed,2025-04-25,2025-05-09,Feature Request
colliercraig@example.net,8188921424,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-02-23,2025-02-27,Feature Request
ismith@example.com,401931068,Technical Support,Settings not saving properly.,Closed,2025-06-09,2025-06-17,Technical Support
slopez@example.org,4530380785,Technical Support,Freezing during screen load.,Closed,2025-06-30,2025-07-16,Technical Support
charleskennedy@example.net,2406375839,Login Issue,Getting 'user not found' even with valid ID.,Closed,2025-03-23,2025-03-26,Bug Report
barbaradurham@example.net,7638091636,Technical Support,White screen on startup.,Closed,2025-06-14,2025-06-17,Technical Support
garylarsen@example.org,6081323529,Bug Report,Unable to delete old entries.,Closed,2025-07-26,2025-07-29,Bug Report
jordan18@example.org,7785159848,Account Suspension,Account banned during payment process.,Closed,2025-04-23,2025-05-08,General
yvette26@example.org,3400052534,Payment Failure,Payment success mail delayed.,Closed,2025-02-07,2025-02-09,Billing Problem
smithrandy@example.com,9257647247,UI Feedback,Text is too small on mobile.,Closed,2025-02-18,2025-02-21,UI Feedback
alyssa37@example.org,6034028134,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-04-07,2025-04-09,Subscription Cancellation
phillipssteve@example.com,5549896412,Billing Problem,Need clarification on currency charges.,Closed,2025-02-08,2025-02-15,Bug Report
christina77@example.com,8994335217,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-05-28,2025-06-01,UI Feedback
gbarrett@example.com,1812448931,Data Export,Can’t schedule data export.,Closed,2025-06-05,2025-06-17,Data Export
petersvincent@example.org,9143329067,Technical Support,Feature working on web but not mobile.,Closed,2025-04-27,2025-05-03,Technical Support
roger97@example.org,9469032681,Technical Support,Can’t install latest update.,Closed,2025-01-29,2025-02-06,Technical Support
anthonyflowers@example.net,8465071495,Feature Request,Request feature to duplicate projects.,Closed,2025-03-10,2025-03-11,Feature Request
csmith@example.org,7126111390,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-03-15,2025-03-23,Bug Report
psanders@example.com,5830333742,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-02-27,2025-03-10,Feature Request
